line,id,vendor,US_GWD_number,DS_GWD_number,tool,ILIRStartDate,status,type,vendor_comment,feature_number,feature_ODO,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,install_date,toughness_J,MAOP_kPa,begin_PS,end_PS,begin_VTS,end_VTS,begin_maop,end_maop,start_ILI_segment_m,end_ILI_segment_m
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101110,Rosen,24540,24550,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000346,36789.516,36651.011,0.4,72,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101109,Rosen,24630,24640,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0036-0000455,36898.507,36759.863,0.36,1122,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101108,Rosen,24730,24740,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000006,37018.07,36879.282,0.58,78,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101107,Rosen,24800,24810,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000057,37107.854,36968.942,0.39,32,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101106,Rosen,24890,24900,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000086,37210.368,37071.296,0.37,42,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101105,Rosen,24890,24900,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000087,37216.792,37077.712,0.5,32,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101104,Rosen,24940,24950,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000173,37270.36,37131.208,0.43,34,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101103,Rosen,24980,24990,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000263,37325.606,37186.367,0.36,58,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101102,Rosen,25020,25030,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000312,37370.339,37231.014,0.34,26,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101101,Rosen,25150,25160,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000374,37528.34,37388.684,0.39,82,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101100,Rosen,25380,25390,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000531,37796.894,37656.835,0.62,36,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101099,Rosen,25470,25480,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000603,37907.046,37766.84,0.48,24,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101098,Rosen,25510,25520,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000621,37956.301,37816.021,0.6,64,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101097,Rosen,25550,25560,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0037-0000658,37999.366,37859.032,0.38,90,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101096,Rosen,25580,25590,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0038-0000006,38037.235,37896.845,0.37,82,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101095,Rosen,25850,25860,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0038-0000153,38368.514,38227.685,0.34,54,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101094,Rosen,25950,25960,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0038-0000203,38475.281,38334.251,0.35,50,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101093,Rosen,26040,26050,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0038-0000225,38575.847,38434.666,0.42,44,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
NPS12 Hartell to Pincher Creek From 2-29-19-2-W5 To 16-14-4-29-W4,101092,Rosen,26050,26060,USCD,10/16/2017,Active,Long Seam Weld Anomaly,Long seam anomaly,0038-0000227,38589.418,38448.195,0.45,58,NULL,12.75,5.56,317,1/1/1966,8,7860,28475.134,40126.181,0,157883.725,28475.134,40126.343,0,157883.725
