line,InlineInspectionCrackAnomalyId,vendor,tool,ILIRStartDate,status,type,surface,chainage_m,depth_fraction,length_mm,width_mm,OD_inch,WT_mm,grade_MPa,toughness_J,install_date,begin_PS,end_PS,MAOP_kPa,begin_maop,end_maop
pipeline,1527502,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61217.17892,0.2364,82,82,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527510,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61218.17892,0.2539,56,56,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527514,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61219.17892,0.2422,119,119,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527516,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61220.17892,0.25,56,56,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527518,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61221.17892,0.3101,41,41,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527519,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61222.17892,0.2888,93,93,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527521,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61223.17892,0.2733,96,96,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527523,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61224.17892,0.2733,51,51,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527527,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61225.17892,0.2461,81,81,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527530,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61226.17892,0.2016,102,102,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527532,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61227.17892,0.1705,119,119,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527544,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61228.17892,0.2461,96,96,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527545,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61229.17892,0.2364,95,95,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527546,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61230.17892,0.2539,109,109,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527550,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61231.17892,0.2771,44,44,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527551,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61232.17892,0.2422,70,70,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527552,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61233.17892,0.25,39,39,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527555,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61234.17892,0.3217,57,57,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527558,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61235.17892,0.2965,46,46,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527559,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61236.17892,0.2946,76,76,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527563,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61237.17892,0.25,112,112,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527567,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61238.17892,0.2578,92,92,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527569,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61239.17892,0.2248,78,78,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527570,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61240.17892,0.2054,172,172,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527571,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61241.17892,0.1512,90,90,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527574,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61242.17892,0.2422,74,74,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527576,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61243.17892,0.2578,88,88,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527578,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61244.17892,0.2422,59,59,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527584,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61245.17892,0.2597,118,118,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527603,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61246.17892,0.2422,114,114,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527604,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61247.17892,0.2539,34,34,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527611,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61248.17892,0.2946,35,35,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527613,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61249.17892,0.2558,39,39,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527614,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61250.17892,0.2578,19,19,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
pipeline,1527620,Rosen,AFD,2014-11-27 12:00:00,,Long Seam Weld Anomaly,E,61251.17892,0.2248,124,124,10.75,5.1562,359,30,1970-12-31 12:00:00,,61441.3,7000,16541.42,61441.3
